ticker,insider_name,title,type,security,shares,price,value,code,filing_date,filing_url
IDCC,Markley John D. Jr.,Unknown,Sell,Common Stock,8.7784,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035992/0001628280-25-035992-index.htm
IDCC,RANKIN JEAN F,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035991/0001628280-25-035991-index.htm
IDCC,RANKIN JEAN F,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1222716/000162828025035991/0001628280-25-035991-index.htm
IDCC,Schmidt Joshua D.,CLO & Corp Secretary,Sell,Common Stock,32.0878,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1889993/000162828025035990/0001628280-25-035990-index.htm
IDCC,Schmidt Joshua D.,CLO & Corp Secretary,Sell,Common Stock,32.0878,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035990/0001628280-25-035990-index.htm
IDCC,Pankaj Rajesh,Chief Technology Officer,Sell,Common Stock,100.3299,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1936535/000162828025035988/0001628280-25-035988-index.htm
IDCC,Pankaj Rajesh,Chief Technology Officer,Sell,Common Stock,100.3299,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035988/0001628280-25-035988-index.htm
AVPT,Brown Brian Michael,Chief Legal Officer,Sell,Common Stock,35000.0,18.74,655900.0,S,2025-07-25,https://www.sec.gov/Archives/edgar/data/1865783/000143774925023451/0001437749-25-023451-index.htm
PEBO,Wilcox Tyler J,Chief Executive Officer,Buy,Common Stock,400.0,30.03,12012.0,P,2025-07-25,https://www.sec.gov/Archives/edgar/data/318300/000031830025000224/0000318300-25-000224-index.htm
PEBO,Wilcox Tyler J,Chief Executive Officer,Buy,Common Stock,400.0,30.03,12012.0,P,2025-07-25,https://www.sec.gov/Archives/edgar/data/1823309/000031830025000224/0000318300-25-000224-index.htm
FNWD,Puntillo Anthony,Unknown,Sell,Common Stock,434.0,27.63,11991.42,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/919864/000143774925023468/0001437749-25-023468-index.htm
IDCC,Gillman Joan H,Unknown,Sell,Common Stock,52.44,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1577360/000162828025035995/0001628280-25-035995-index.htm
AVPT,Brown Brian Michael,Chief Legal Officer,Sell,Common Stock,35000.0,18.74,655900.0,S,2025-07-25,https://www.sec.gov/Archives/edgar/data/1865783/000143774925023451/0001437749-25-023451-index.htm
IDCC,Pankaj Rajesh,Chief Technology Officer,Sell,Common Stock,100.3299,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035988/0001628280-25-035988-index.htm
IDCC,Pankaj Rajesh,Chief Technology Officer,Sell,Common Stock,100.3299,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1936535/000162828025035988/0001628280-25-035988-index.htm
IDCC,Schmidt Joshua D.,CLO & Corp Secretary,Sell,Common Stock,32.0878,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035990/0001628280-25-035990-index.htm
IDCC,Schmidt Joshua D.,CLO & Corp Secretary,Sell,Common Stock,32.0878,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1889993/000162828025035990/0001628280-25-035990-index.htm
IDCC,RANKIN JEAN F,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1222716/000162828025035991/0001628280-25-035991-index.htm
IDCC,RANKIN JEAN F,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035991/0001628280-25-035991-index.htm
IDCC,Markley John D. Jr.,Unknown,Sell,Common Stock,8.7784,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035992/0001628280-25-035992-index.htm
IDCC,Markley John D. Jr.,Unknown,Sell,Common Stock,8.7784,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1491492/000162828025035992/0001628280-25-035992-index.htm
IDCC,KRITZMACHER JOHN A,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1194009/000162828025035993/0001628280-25-035993-index.htm
IDCC,KRITZMACHER JOHN A,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035993/0001628280-25-035993-index.htm
IDCC,HUTCHESON STEWART D,Unknown,Sell,Common Stock,49.6333,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1223761/000162828025035994/0001628280-25-035994-index.htm
IDCC,HUTCHESON STEWART D,Unknown,Sell,Common Stock,49.6333,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035994/0001628280-25-035994-index.htm
IDCC,Gillman Joan H,Unknown,Sell,Common Stock,52.44,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035995/0001628280-25-035995-index.htm
IDCC,Chen Lawrence Liren,President and CEO,Sell,Common Stock,104.0938,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035996/0001628280-25-035996-index.htm
FNWD,Puntillo Anthony,Unknown,Sell,Common Stock,434.0,27.63,11991.42,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1304065/000143774925023468/0001437749-25-023468-index.htm
IDCC,Chen Lawrence Liren,President and CEO,Sell,Common Stock,104.0938,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1854214/000162828025035996/0001628280-25-035996-index.htm
IDCC,BREZSKI RICHARD,Chief Financial Officer,Sell,Common Stock,45.5464,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1231579/000162828025035997/0001628280-25-035997-index.htm
IDCC,BREZSKI RICHARD,Chief Financial Officer,Sell,Common Stock,45.5464,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035997/0001628280-25-035997-index.htm
IDCC,Armaly Samir,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035998/0001628280-25-035998-index.htm
IDCC,Armaly Samir,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1813526/000162828025035998/0001628280-25-035998-index.htm
IDCC,ABERLE DEREK K,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1405495/000162828025035999/0001628280-25-035999-index.htm
IDCC,ABERLE DEREK K,Unknown,Sell,Common Stock,2.7318,0.0,0.0,A,2025-07-25,https://www.sec.gov/Archives/edgar/data/1445355/000162828025035999/0001628280-25-035999-index.htm
FRAF,Hollar Mark R,EVP/CFO,Sell,Common Stock,2102.0,42.83,90028.66,F,2025-07-25,https://www.sec.gov/Archives/edgar/data/723646/000131810125000006/0001318101-25-000006-index.htm
FRAF,Hollar Mark R,EVP/CFO,Sell,Common Stock,3000.0,30.0,90000.0,M,2025-07-25,https://www.sec.gov/Archives/edgar/data/723646/000131810125000006/0001318101-25-000006-index.htm
FRAF,Hollar Mark R,EVP/CFO,Sell,Common Stock,2102.0,42.83,90028.66,F,2025-07-25,https://www.sec.gov/Archives/edgar/data/1318101/000131810125000006/0001318101-25-000006-index.htm
FRAF,Hollar Mark R,EVP/CFO,Sell,Common Stock,3000.0,30.0,90000.0,M,2025-07-25,https://www.sec.gov/Archives/edgar/data/1318101/000131810125000006/0001318101-25-000006-index.htm
AVPT,Brown Brian Michael,Chief Legal Officer,Sell,Common Stock,35000.0,18.74,655900.0,S,2025-07-25,https://www.sec.gov/Archives/edgar/data/1777921/000143774925023451/0001437749-25-023451-index.htm
PCOFX,Stanley C. Moss Revocable Trust U/A DTD 10/13/2015,Unknown,Buy,Institutional Class Common Shares,186384.29,9.72,1811655.3,P,2025-07-25,https://www.sec.gov/Archives/edgar/data/1990226/000199022625000001/0001990226-25-000001-index.htm
PCOFX,Stanley C. Moss Revocable Trust U/A DTD 10/13/2015,Unknown,Buy,Institutional Class Common Shares,186384.29,9.72,1811655.3,P,2025-07-25,https://www.sec.gov/Archives/edgar/data/1965985/000199022625000001/0001990226-25-000001-index.htm
AVPT,Brown Brian Michael,Chief Legal Officer,Sell,Common Stock,35000.0,18.74,655900.0,S,2025-07-25,https://www.sec.gov/Archives/edgar/data/1777921/000143774925023451/0001437749-25-023451-index.htm
