ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
GPUS,"Hyperscale Data, Inc.",10% Owner,2025-08-28,Buy,0.01,1000000,"6,600","13,806,817",http://www.sec.gov/Archives/edgar/data/896493/000121465925013617/xslF345X05/marketforms-70744.xml
GPUS,AULT MILTON C III,Executive Chairman,2025-09-09,Buy,0.38,1000,375,"6,050",http://www.sec.gov/Archives/edgar/data/896493/000121465925013616/xslF345X05/marketforms-70737.xml
GPUS,AULT MILTON C III,Executive Chairman,2025-09-08,Buy,0.4,2600,"1,050","5,050",http://www.sec.gov/Archives/edgar/data/896493/000121465925013616/xslF345X05/marketforms-70737.xml
SLRC,Roberts Andrea Colvin,Director,2025-09-09,Buy,16.73,7190,"120,254","7,190",http://www.sec.gov/Archives/edgar/data/1418076/000095017025114052/xslF345X05/ownership.xml
GLIBK,MALONE JOHN C,Director,2025-09-09,Buy,35.99,14098,"507,364","1,158,108",http://www.sec.gov/Archives/edgar/data/937797/000122520825007865/xslF345X05/doc4.xml
GLIBK,MALONE JOHN C,Director,2025-09-08,Buy,36.0,71,"2,556","1,144,310",http://www.sec.gov/Archives/edgar/data/937797/000122520825007865/xslF345X05/doc4.xml
GLIBA,MALONE JOHN C,Director,2025-09-09,Buy,35.99,14098,"507,364","1,158,108",http://www.sec.gov/Archives/edgar/data/937797/000122520825007865/xslF345X05/doc4.xml
GLIBA,MALONE JOHN C,Director,2025-09-08,Buy,36.0,71,"2,556","1,144,310",http://www.sec.gov/Archives/edgar/data/937797/000122520825007865/xslF345X05/doc4.xml
AARD,Sun Nelson,Chief Financial Officer,2025-09-09,Buy,8.07,6000,"48,440","105,484",http://www.sec.gov/Archives/edgar/data/1774857/000119312525200226/xslF345X05/ownership.xml
CCEL,PORTNOY DAVID,"Chairman, Co-CEO",2025-09-10,Buy,4.44,25139,"111,692","268,878",http://www.sec.gov/Archives/edgar/data/862692/000095017025114029/xslF345X05/ownership.xml
CCEL,PORTNOY DAVID,"Chairman, Co-CEO",2025-09-10,Buy,4.42,7178,"31,727","811,920",http://www.sec.gov/Archives/edgar/data/862692/000095017025114029/xslF345X05/ownership.xml
CCEL,PORTNOY DAVID,"Chairman, Co-CEO",2025-09-09,Buy,4.49,5312,"23,849","257,843",http://www.sec.gov/Archives/edgar/data/862692/000095017025114029/xslF345X05/ownership.xml
CCEL,PORTNOY DAVID,"Chairman, Co-CEO",2025-09-08,Buy,4.31,5271,"22,718","253,028",http://www.sec.gov/Archives/edgar/data/862692/000095017025114029/xslF345X05/ownership.xml
NAMS,Topper James N,Director,2025-09-08,Buy,24.99,1260,"31,487","3,027,864",http://www.sec.gov/Archives/edgar/data/1341382/000141588925024111/xslF345X05/form4-09102025_090907.xml
MCGA,Rillo Troy,Chief Financial Officer,2025-08-25,Buy,1.0,91770,"91,770","91,770",http://www.sec.gov/Archives/edgar/data/2064658/000110465925089105/xslF345X05/tm2525787-2_4seq1.xml
BSM,Carter Thomas L Jr,"CEO, President, and Chairman",2025-09-10,Buy,12.32,10536,"129,794","3,497,401",http://www.sec.gov/Archives/edgar/data/1319960/000162143425000121/xslF345X05/wk-form4_1757536584.xml
BSM,Carter Thomas L Jr,"CEO, President, and Chairman",2025-09-09,Buy,12.07,1307,"15,770","3,486,865",http://www.sec.gov/Archives/edgar/data/1319960/000162143425000121/xslF345X05/wk-form4_1757536584.xml
BSM,Carter Thomas L Jr,"CEO, President, and Chairman",2025-09-08,Buy,11.9,13527,"160,937","3,485,558",http://www.sec.gov/Archives/edgar/data/1319960/000162143425000121/xslF345X05/wk-form4_1757536584.xml
MLP,CASE STEPHEN M,Director,2025-09-09,Buy,16.96,2500,"42,400","11,940,478",http://www.sec.gov/Archives/edgar/data/63330/000109458125000005/xslF345X05/form4-09102025_040901.xml
MLP,CASE STEPHEN M,Director,2025-09-08,Buy,16.91,2500,"42,275","11,937,978",http://www.sec.gov/Archives/edgar/data/63330/000109458125000005/xslF345X05/form4-09102025_040901.xml
MSIF,Niemann John O. Jr.,Director,2025-09-09,Buy,13.92,4240,"59,021","32,367",http://www.sec.gov/Archives/edgar/data/1493815/000149381525000004/xslF345X05/form4-09102025_040901.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-09-09,Buy,13.39,362,"4,846","3,441,761",http://www.sec.gov/Archives/edgar/data/354963/000149315225012999/xslF345X05/ownership.xml
SHEN,"ECP ControlCo, LLC",10% Owner,2025-09-08,Buy,13.46,147,"1,979","3,441,399",http://www.sec.gov/Archives/edgar/data/354963/000149315225012999/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-09-09,Buy,13.39,362,"4,846","3,441,761",http://www.sec.gov/Archives/edgar/data/354963/000149315225012998/xslF345X05/ownership.xml
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-09-08,Buy,13.46,147,"1,979","3,441,399",http://www.sec.gov/Archives/edgar/data/354963/000149315225012998/xslF345X05/ownership.xml
PRGO,Lennox Abigail,EVP and  CSO,2025-09-08,Buy,22.41,1255,"28,125","1,255",http://www.sec.gov/Archives/edgar/data/1585364/000158536425000139/xslF345X05/wk-form4_1757535584.xml
OPCH,Wright Norman L.,Director,2025-09-09,Buy,29.31,3411,"99,976","15,501",http://www.sec.gov/Archives/edgar/data/1014739/000143774925028768/xslF345X05/rdgdoc.xml
CELC,BAKER BROS. ADVISORS LP,10% Owner,2025-09-08,Buy,56.27,170100,"9,571,319","7,211,484",http://www.sec.gov/Archives/edgar/data/1087939/000095017025113977/xslF345X05/ownership.xml
OCTO,Jennings Frank D,Director,2025-09-09,Buy,1.46,136986,"200,000","154,189",http://www.sec.gov/Archives/edgar/data/1748662/000106299325015492/xslF345X05/form4.xml
OCTO,Caiano Nicola Paul,Director,2025-09-09,Buy,1.46,342466,"500,000","350,288",http://www.sec.gov/Archives/edgar/data/1892492/000106299325015490/xslF345X05/form4.xml
AVBC,Cozzone Robert D,President & CEO,2025-09-09,Buy,15.5,3226,"50,008","36,793",http://www.sec.gov/Archives/edgar/data/1586267/000143774925028759/xslF345X05/rdgdoc.xml
PESI,Shelton Larry,Director,2025-09-09,Buy,9.61,1000,"9,610","188,880",http://www.sec.gov/Archives/edgar/data/891532/000149315225012970/xslF345X05/ownership.xml
IRIX,Dizon Romeo R,Chief Financial Officer,2025-09-09,Buy,1.37,1500,"2,055","57,750",http://www.sec.gov/Archives/edgar/data/1006045/000095017025113915/xslF345X05/ownership.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-09-09,Buy,2.65,774,"2,051","325,246",http://www.sec.gov/Archives/edgar/data/919567/000143774925028731/xslF345X05/rdgdoc.xml
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-09-09,Buy,2.65,356,943,"108,870",http://www.sec.gov/Archives/edgar/data/919567/000143774925028731/xslF345X05/rdgdoc.xml
TPL,HORIZON KINETICS ASSET MANAGEM,10% Owner,2025-09-09,Buy,917.21,1,917,"1,163,992",http://www.sec.gov/Archives/edgar/data/1056823/000143774925028728/xslF345X05/rdgdoc.xml
GAIA,Medvedich Kiersten,CEO,2025-09-09,Buy,5.6,2750,"15,400","47,556",http://www.sec.gov/Archives/edgar/data/1089872/000095017025113902/xslF345X05/ownership.xml
DGICA,DONEGAL MUTUAL INSURANCE CO,10% Owner,2025-09-09,Buy,19.24,19352,"372,292","13,598,006",http://www.sec.gov/Archives/edgar/data/800457/000093559625000010/xslF345X05/wk-form4_1757508797.xml
DGICA,DONEGAL MUTUAL INSURANCE CO,10% Owner,2025-09-08,Buy,19.1,19025,"363,417","13,578,654",http://www.sec.gov/Archives/edgar/data/800457/000093559625000010/xslF345X05/wk-form4_1757508797.xml
AXSM,Coleman Mark,Director,2025-09-08,Buy,127.28,1575,"200,466","48,212",http://www.sec.gov/Archives/edgar/data/1579428/000095017025113874/xslF345X05/ownership.xml
