ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4
CLDI,Schoeneck James A,Director,2025-08-21,Buy,2.0,75000,"150,000","76,134",http://www.sec.gov/Archives/edgar/data/1420987/000164117225025448/xslF345X05/ownership.xml
CLDI,Poma Eric E,Chief Executive Officer,2025-08-21,Buy,2.0,25000,"50,000","25,000",http://www.sec.gov/Archives/edgar/data/1339484/000164117225025447/xslF345X05/ownership.xml
CLDI,Leftwich Scott,Director,2025-08-21,Buy,2.0,125000,"250,000","130,650",http://www.sec.gov/Archives/edgar/data/1855485/000164117225025446/xslF345X05/ownership.xml
CLDI,Jackson Andrew C.,Chief Financial Officer,2025-08-21,Buy,2.0,2500,"5,000","2,500",http://www.sec.gov/Archives/edgar/data/1636738/000164117225025445/xslF345X05/ownership.xml
PODC,MERRIMAN D JONATHAN,Director,2025-08-21,Buy,1.49,5700,"8,493","221,279",http://www.sec.gov/Archives/edgar/data/1022711/000121390025080455/xslF345X05/ownership.xml
BKKT,Naheta Akshay Sudhir,CEO and President,2025-08-22,Buy,8.55,30000,"256,389","191,426",http://www.sec.gov/Archives/edgar/data/1820302/000206254325000001/xslF345X05/primary_doc.xml
BKKT,Naheta Akshay Sudhir,CEO and President,2025-08-21,Buy,8.12,150000,"1,218,015","161,426",http://www.sec.gov/Archives/edgar/data/1820302/000206254325000001/xslF345X05/primary_doc.xml
OBIO,Fain Eric S,Director,2025-08-25,Buy,2.61,5760,"15,034","71,709",http://www.sec.gov/Archives/edgar/data/1402222/000110465925082638/xslF345X05/tm2524324-4_4seq1.xml
OBIO,Sherman Darren,See Remarks,2025-08-25,Buy,2.62,3000,"7,860","926,837",http://www.sec.gov/Archives/edgar/data/1723524/000110465925082636/xslF345X05/tm2524324-3_4seq1.xml
OBIO,Hochman David P,See Remarks,2025-08-21,Buy,2.49,6000,"14,940","651,460",http://www.sec.gov/Archives/edgar/data/1292834/000110465925082635/xslF345X05/tm2524324-2_4seq1.xml
OBIO,Taylor Andrew Lawrence,Chief Financial Officer,2025-08-25,Buy,2.55,2000,"5,100","482,788",http://www.sec.gov/Archives/edgar/data/1723889/000110465925082633/xslF345X05/tm2524324-1_4seq1.xml
ISPO,Zamani Payam,CHIEF EXECUTIVE OFFICER,2025-08-21,Buy,2.95,4000,"11,800","1,150,000",http://www.sec.gov/Archives/edgar/data/1487654/000162828025041125/xslF345X05/wk-form4_1756162811.xml
ASAN,Moskovitz Dustin A.,Director,2025-08-21,Buy,13.52,122470,"1,655,954","57,898,436",http://www.sec.gov/Archives/edgar/data/1477720/000147772025000192/xslF345X05/wk-form4_1756162067.xml
RRGB,Martin Christopher Ross,Director,2025-08-22,Buy,6.29,34649,"217,852","1,667,906",http://www.sec.gov/Archives/edgar/data/1171759/000092189525002380/xslF345X05/form413432005_08252025.xml
RRGB,Martin Christopher Ross,Director,2025-08-21,Buy,6.14,18351,"112,618","1,633,257",http://www.sec.gov/Archives/edgar/data/1171759/000092189525002380/xslF345X05/form413432005_08252025.xml
SCKT,PARNELL WILLIAM L. JR,Director,2025-08-22,Buy,0.98,3500,"3,448","75,350",http://www.sec.gov/Archives/edgar/data/944075/000094407525000067/xslF345X05/primary_doc.xml
ICU,Chung Kevin,Chief Medical Officer,2025-08-22,Buy,0.8,10000,"8,000","58,184",http://www.sec.gov/Archives/edgar/data/1831868/000121390025080440/xslF345X05/marketforms-70394.xml
PROP,Kovalik Edward,Chief Executive Officer,2025-08-21,Buy,2.17,10000,"21,750","2,037,035",http://www.sec.gov/Archives/edgar/data/1162896/000114036125032541/xslF345X05/form4.xml
MDRR,KAVANAUGH FRANK,"CHAIRMAN, CEO & PRESIDENT",2025-08-25,Buy,12.0,2500,"30,000","26,639",http://www.sec.gov/Archives/edgar/data/1271775/000141588925022947/xslF345X05/form4-08252025_090810.xml
MDRR,KAVANAUGH FRANK,"CHAIRMAN, CEO & PRESIDENT",2025-08-22,Buy,11.99,1028,"12,326","24,139",http://www.sec.gov/Archives/edgar/data/1271775/000141588925022947/xslF345X05/form4-08252025_090810.xml
GLIBK,MALONE JOHN C,Director,2025-08-21,Buy,35.98,16153,"581,254","1,140,539",http://www.sec.gov/Archives/edgar/data/937797/000122520825007454/xslF345X05/doc4.xml
GLIBA,MALONE JOHN C,Director,2025-08-21,Buy,35.98,16153,"581,254","1,140,539",http://www.sec.gov/Archives/edgar/data/937797/000122520825007454/xslF345X05/doc4.xml
FUSB,Pierce Staci,Director,2025-08-22,Buy,11.8,500,"5,900","4,600",http://www.sec.gov/Archives/edgar/data/717806/000095017025111254/xslF345X05/ownership.xml
GLP,Global GP LLC,General Partner,2025-08-21,Buy,51.34,5000,"256,700","132,001",http://www.sec.gov/Archives/edgar/data/1323468/000106299325014897/xslF345X05/form4.xml
MDT,Jellison William R,Director,2025-08-25,Buy,92.37,2500,"230,925","5,000",http://www.sec.gov/Archives/edgar/data/1189883/000161310325000157/xslF345X05/wk-form4_1756156682.xml
MDT,Jellison William R,Director,2025-08-22,Buy,92.73,2500,"231,825","2,500",http://www.sec.gov/Archives/edgar/data/1189883/000161310325000157/xslF345X05/wk-form4_1756156682.xml
SINT,Olson Eric K.,President and CEO,2025-08-22,Buy,3.58,10475,"37,470","24,975",http://www.sec.gov/Archives/edgar/data/1269026/000149315225012306/xslF345X05/ownership.xml
DLPN,O'Dowd William IV,Chief Executive Officer,2025-08-21,Buy,1.18,84745,"99,999","353,724",http://www.sec.gov/Archives/edgar/data/1282224/000107997325001382/xslF345X05/ownership.xml
CMT,Panda Alex Joseph,"EVP, Treasurer, Secretary, CFO",2025-08-25,Buy,19.14,200,"3,829","30,396",http://www.sec.gov/Archives/edgar/data/1026655/000207216725000010/xslF345X05/wk-form4_1756156154.xml
EONR,Williams Mark,VP of Finance and Admin,2025-08-21,Buy,0.34,50000,"17,000","155,000",http://www.sec.gov/Archives/edgar/data/1842556/000121390025080404/xslF345X05/ownership.xml
EONR,Williams Mark,VP of Finance and Admin,2025-06-30,Buy,0.34,10000,"3,400","105,000",http://www.sec.gov/Archives/edgar/data/1842556/000121390025080404/xslF345X05/ownership.xml
FEAM,Weibel Paul Wesley III,Chief Executive Officer,2025-08-25,Buy,3.5,1628,"5,698","14,261",http://www.sec.gov/Archives/edgar/data/1888654/000156218025006001/xslF345X05/primarydocument.xml
FEAM,Malm Joshua,CFO,2025-08-25,Buy,3.5,1425,"4,988","1,425",http://www.sec.gov/Archives/edgar/data/1888654/000156218025006000/xslF345X05/primarydocument.xml
AMRZ,Hill Jaime,"President, Building Materials",2025-08-22,Buy,49.59,500,"24,792","14,101",http://www.sec.gov/Archives/edgar/data/2035989/000203598925000026/xslF345X05/primary_doc.xml
MBIN,Thomas Darin L.,Chief Accounting Officer,2025-08-22,Buy,29.71,3353,"99,628","2,250",http://www.sec.gov/Archives/edgar/data/1629019/000156218025005997/xslF345X05/primarydocument.xml
MLP,CASE STEPHEN M,Director,2025-08-22,Buy,16.52,2500,"41,300","11,931,445",http://www.sec.gov/Archives/edgar/data/63330/000141588925022923/xslF345X05/form4-08252025_080807.xml
MLP,CASE STEPHEN M,Director,2025-08-21,Buy,16.15,2500,"40,375","11,928,945",http://www.sec.gov/Archives/edgar/data/63330/000141588925022923/xslF345X05/form4-08252025_080807.xml
HBNC,Samuels Michele Annette,Director,2025-08-22,Buy,14.5,1724,"24,998","4,986",http://www.sec.gov/Archives/edgar/data/706129/000070612925000154/xslF345X05/wk-form4_1756153064.xml
HBNC,Blackhurst Eric P.,Director,2025-08-22,Buy,14.5,1724,"24,998","26,298",http://www.sec.gov/Archives/edgar/data/706129/000070612925000153/xslF345X05/wk-form4_1756153057.xml
HBNC,Prame Thomas M,Chief Executive Officer,2025-08-22,Buy,14.5,1034,"14,993","47,521",http://www.sec.gov/Archives/edgar/data/706129/000070612925000152/xslF345X05/wk-form4_1756153049.xml
HBNC,Ahern Kevin,Director,2025-08-22,Buy,14.5,6896,"99,992","16,896",http://www.sec.gov/Archives/edgar/data/706129/000070612925000151/xslF345X05/wk-form4_1756153042.xml
HBNC,Stewart John R,EVP - Chief Financial Officer,2025-08-22,Buy,14.5,1724,"24,998","79,745",http://www.sec.gov/Archives/edgar/data/706129/000070612925000150/xslF345X05/wk-form4_1756153035.xml
PROP,Gray Jonathan H.,Director,2025-08-21,Buy,2.16,120563,"260,416","586,817",http://www.sec.gov/Archives/edgar/data/1162896/000114036125032506/xslF345X05/form4.xml
INR,Arnold Zack David,See Remarks,2025-08-22,Buy,13.88,5500,"76,362","5,500",http://www.sec.gov/Archives/edgar/data/2029118/000119312525187699/xslF345X05/ownership.xml
WU,McGranahan Devin,CEO & President,2025-08-21,Buy,8.49,176470,"1,498,054","913,125",http://www.sec.gov/Archives/edgar/data/1365135/000122520825007448/xslF345X05/doc4.xml
SCWO,Russell Kline,Chief Financial Officer,2025-08-22,Buy,0.25,15000,"3,744","398,642",http://www.sec.gov/Archives/edgar/data/933972/000165495425009981/xslF345X05/section16.xml
